Text,Category
"【機種】ｉＰｈｏｎｅ７以前　ｉＯＳ１２．４．９【カテゴリ】トラ）ｄフォト【事象の概要】プリントアプリでフォトブックを作成し写真を選択後「次へ」を押下すると下記エラーが表示注文できないので改善したい。［発生手順］［エラー文言］ポップアップ「処理中にエラーが発生しました」［発生日時］１１／２９　（本日３冊の注文は問題なく完了した）［再発有無］初事象［事象発生のきっかけ］なし［発生環境］パケット通信・Ｗｉ－Ｆｉ［発生頻度］毎回［トラブルシューティング］ｄアカウントの解除
０４０２",操作説明
"【機種】Ｆ－０４Ｈ【カテゴリ】トラ）ｄフォト【事象の概要】ｄフォトでプリントを注文しようとすると未契約の表示がでて注文できない【発生日時】【再発有無】初事象
０８０６",ログイントラブル
ｄフォトの内容が変わってしまったのでＬ版プリントのやり方がわからなくなった。先ほどの担当女性は同じ機種を用意すると言って散々待たせるだけで、別の担当に代わった。たらい回しにしないでほしい。,操作説明
Ｄフォトの５０Ｇを増やしてほしいです……出来たら何らかの必要な手続きを得たら無料で５０Ｇ以上使えるとありがたいです。条件無しならもっとありがたいですｍ（＿　＿）ｍご検討ｙ宜しくお願い致しますｍ（＿　＿）ｍ【お客様アンケート(DS)】,その他
"【機種】ｉＰｈｏｎｅＸＲ１４．２【カテゴリ】ｄフォト【事象の概要】自動預かりＯＮ（Ｗｉ－Ｆｉのみ）にしているが９／２１以降に撮影した写真がｄフォトに表示されていない【発生日時】／　：【再発有無】初事象【解決方法】アプリの入れ直しで改善
０７０３",操作説明
"・ｄフォトの注文完了メールが届いた時点で注文完了になる旨の注意分がない（月末ぎりぎりに注文完了したつもりが、注文完了メールが月またぎで処理されたため翌月分の請求となった）
・ｄフォトをホームページから解約したが、色んな文章が長々とあり、解約ボタンが結局一番下にあるのは分かりにくい
・解約を実行したときに「料金がかかります」と説明が出たが、これが前月分の料金なのか今月分の料金なのかが分かりにくいしい",その他
"【機種】ｉＰｈｏｎｅ８　ｉＯＳ１４．２【カテゴリ】ｄフォト【事象の概要】ｄフォトの全ての写真に表示されない写真がある。【発生日時】／　：【再発有無】初事象【解決方法】設定＞ｄフォト＞写真＞すべての写真を選択で解決。
０８０１",操作説明
"【機種】ｉＰｈｏｎｅ機種不明【カテゴリ】トラ）ｄフォト【事象の概要】ｄフォトプリントアプリでフォトブック作成で写真を選択し次へ進むと「処理中にエラーが発生しました」と表示される［発生手順］［エラー文言］［発生日時］／　：［再発有無］初事象［事象発生のきっかけ］［発生環境］パケット通信・Ｗｉ－Ｆｉ［発生頻度］［トラブルシューティング］再起動・ｄフォトプリントアプリ入れ直し・ｉＰｈｏｎｅの容量１３．４ＧＢ／１６ＧＢ
０４０２",操作説明
"【機種】ＳＣ－０２Ｈ【カテゴリ】ｄフォト【事象の概要】初期化前に写真をバックアップしたいがＳＤカードは無い【発生日時】／　：【再発有無】初事象【解決方法】
１１０２",操作説明
"【機種】ＳＯ－４１Ａ（１０Ⅱ）カテゴリ】トラ）ｄフォト　【事象の概要】課金をしようとすると「Ｍ１１００６４」のエラーコード【発生日時】【再発有無】初事象
０８０６",操作説明
"【機種】ＳＣ－０２Ｋ（Ｓ９）【カテゴリ】ｄフォト　【事象の概要】ｄフォトアプリのマルチデバイス機能について確認したい【発生日時】／　：
０８０５",操作説明
"【機種】ｉＰｈｏｎｅ７／１４．２【カテゴリ】ｄフォト　【事象の概要】ｄフォトプリントアプリを起動するとｄ１３４のエラーが出る　【発生日時】／　：【再発有無】初事象【解決方法】ｄアカウント設定アプリダウンロードし改善
０４０２",ログイントラブル
"【機種】ｉＰｈｏｎｅ７　ｉＯＳ１４．２【カテゴリ】ｄフォト　【事象の概要】ｄアカウント変更後からログインしようとすると『Ｄ１３４　認証できません。入力内容に誤りがあります』と表示される【発生日時】【再発有無】初事象【解決方法】アプリ入れ直しで改善
０６０３",ログイントラブル
"【機種】Ｆ－０１Ｌ（らくらくｍｅ）【カテゴリ】ｄフォト　【事象の概要】過去に注文した写真を確認できるか？【発生日時】／　：
０５０１",サービス案内
ｄフォトのバージョンアップを希望します＾ｏ＾保存しても見れないのが多すぎる＆＃８２５２；【お客様アンケート(DS)】,その他
Ｆ－０４Ｊ利用中ｄフォトを契約してフォトブックを作成しているが、１ページに複数のの写真を組み合わせて作れる昨日を追加して欲しい。,その他
以前はソフトバンクユーザーでしたが結婚を期に主人がドコモユーザーだったのでドコモになりました！ｄポイントやｄフォト、今回の遠隔サポートなど色々特典もありとっても良いと思います！【お客様アンケート(IC)】,対象外
"【機種】ｉＰｈｏｎｅ１１　ｉＯＳ１４．２【カテゴリ】ｄフォト　ｄフォトプリント【事象の概要】「ｄフォトプリントアプリ」起動時「Ｄ１３４」が表示され利用が出来ない【発生日時】／　：【再発有無】初事象【解決方法】『ｄアカウント設定アプリ』からｄアカウントの再設定で改善
１００１",ログイントラブル
"【機種】ｉＰｈｏｎｅ８　１４．１【カテゴリ】トラ）ｄフォト【事象の概要】自動お預かりがされない。［発生手順］撮影した写真と動画がｄフォトアプリに表示されない。［エラー文言］［発生日時］／　：［再発有無］初事象［事象発生のきっかけ］［発生環境］パケット通信・Ｗｉ－Ｆｉ・ＳＩＭあり・発生機種［発生頻度］常時［トラブルシューティング］ｉＣｌｏｕｄの写真がストレージを最適化になっているため、オリジナルをダウンロードにしてお待ちいただくよう案内。
０６０２",操作説明
"ｄフォトのキャンペーンに応募したが以前の住所だった為賞品が届かなかった。ｄポイントの補填には納得。

ただ、今後賞品発送前に住所確認のメールをして欲しい。とご要望。",対象外
"【機種】ＰＣ（Ｗｉｎ８）【カテゴリ】ｄフォト（ＷＥＢアルバム）【事象の概要】ｄフォトのクラウドデータをＰＣにダウンロードしたい。【発生日時】／　：

１３０１",操作説明
"【機種】ｉＰｈｏｎｅ１１Ｐｒｏ　ｉＯＳ未聴取【カテゴリ】トラ）空き容量不足，トラ）ｄフォト　【事象の概要】ｄフォトの写真を預ける操作ができない
・サムネイル一覧では表示される⇒拡大写真がでない（ｉマークも見つからない）
・アプリを起動するたびに空き容量不足の警告文が出る
・本体ストレージ６３．４ＧＢ／６４ＧＢ【発生日時】／　：【再発有無】初事象［外部機器］
１４０１",操作説明
"【機種】ｉＰｈｏｎｅ７以前　ｉＰｈｏｎｅ７Ｐｌｕｓ　ｉＯＳ【カテゴリ】ｄフォト　ｄフォトプリント【事象の概要】「ｄフォトプリントアプリ」起動「Ｄ１３４　処理中にエラーが発生しました。しばらくしてからお試しください」が表示され利用が出来ない【発生日時】／　：【再発有無】初事象【解決方法】『ｄアカウント設定アプリ』からｄアカウントの再設定で改善
１００１",ログイントラブル
９．３採用　プラン変更、ｄＴＶ廃止、ｄマガジン廃止、ｄｄフォト廃止,対象外
９．３採用ｄフォト、ｄキッズを廃止したい。,対象外
ｄフォト、とても助かっています。ただ、前のアプリの方が使いやすかったように思います。【お客様アンケート(IC)】,アプリが使いにくい
"【機種】ｉＰｈｏｎｅ１１Ｐｒｏ　１４．１【カテゴリ】トラ）▲その他ｄ系アプリ　ｄフォトプリント【事象の概要】ｄフォトプリントアプリで注文内容確認の画面から先に進めない【発生日時】１１／２７【再発有無】初事象［外部機器］ドコモ払い、クレジットカード共に選択不可。クレジットカードの設定画面に進もうとすると「セキュリティコードの送信先が無いため２段階認証がおこなえません」と表示される。

ＮＷ暗証番号不明（ロック）、ｄフォトプリントアプリでご利用のｄアカウントでｄアカウントメニューにログインすると連絡先番号未登録。

ＮＷ暗証番号の再設定、ｄアカウントの連絡先メールアドレス登録手続きのためＤＳに来店いただくことをご提案し終話。

０１０３",操作説明
９．３採用ｄフォト、ｄアニメストア廃止,対象外
１０．２０採用ｄフォト、ｄキッズ廃止,対象外
"【機種】ｉＰｈｏｎｅ６ビルド最新【カテゴリ】トラ）ｄフォト【事象の概要】一部画像が預けられない【発生日時】／　：【再発有無】初事象／再発［外部機器］
１１０２",操作説明
"【機種】ｉＰｈｏｎｅ８　ＯＳ１３．７【カテゴリ】トラ）空き容量不足【事象の概要】容量低下→ｄフォトが１７．４ＧＢなので軽くする操作を知りたい。【発生日時】／　：【再発有無】初事象［外部機器］

・アプリ入れなおしで改善されるとお伝えしましたが、写真が消えてしまう可能性があることがご不安だった為、Ａｐｐｌｅ誘導でパソコンへのデータ移行をご提案して終話。
１３０５",操作説明
Ｍｙ　ｄｏｃｏｍｏでｄキッズとｄフォトを解約したくて、まずｄキッズの解約を申し込んだところ、自分のｄアカウントでログインしているのにまったく知らない人の名前や電話番号が表示された。上申希望有,ログイントラブル
"【機種】機種不明【カテゴリ】トラ）ｄフォト　【事象の概要】送料が請求されているかどうか確認する方法がないか知りたい。【発生日時】／　：

遠隔沖縄センター

２２１１",サービス案内
"【機種】ｉＰｈｏｎｅ１１Ｐｒｏ【カテゴリ】ｄフォト　【事象の概要】ｄフォトとクラウド容量オプションを解約する前にクラウドデータを本体にダウンロードする際、ＤＳで日付順で入ると言われたのに日付順で入らずバラバラに入っている。なぜか。【発生日時】／　：【再発有無】初事象【解決方法】データ移行したデータは日付順に入らないこともあることをご案内。ｄフォトとクラウド容量オプションの解約のため総合へ転送。
０１０２",操作説明
"【機種】【カテゴリ】ｄフォト　【事象の概要】プリント権利が５冊分残っており、違う画像で５冊作成は可能かその場合、送料割引は１冊分のみ発生で他４冊には発生するのか【発生日時】１１／２７　：
１１０１",サービス案内
"【機種】ｉＰｈｏｎｅ８　【カテゴリ】ｄフォト　【事象の概要】ｄフォトにお預けできない写真がｄフォトに出てこない【発生日時】／　：【再発有無】初事象／再発【解決方法】設定→ｄフォト→すべての写真選択
１２０３",操作説明
今回は、オプションのｄフォトについて問い合わせをしました。注文しないなら、繰り越し出来ないと、良く理解せずに毎月、過ごしてました。毎日、色々なメールで、お知らせするなら、こういった大事なことは、メールでも教えて欲しいと想いました。【お客様アンケート(IC)】,サービス案内
"【機種】ＳＯ－５２Ａ（５Ⅱ）【カテゴリ】フォト　【事象の概要】ｄフォトに写真を保存する方法【発生日時】／　：
２２０４",操作説明
ｄフォトアプリが変わって、使いずらくなった【お客様アンケート(IC)】,アプリが使いにくい
"【機種】ｉＰｈｏｎｅ８　ｉＯＳ１４．２【カテゴリ】ｄフォト【事象の概要】ｄフォトに端末の写真が表示されない。【発生日時】１１／２６　：【再発有無】初事象【解決方法】設定＞ｄフォト＞写真＞全ての写真
１４０５",操作説明
【ｄフォトプリントアプリについて】以前のアプリにあった、注文済みの写真を絞込む機能が無くなったことで、非常に不便している。早く復活してほしい。,その他
"【機種】ｉＰｈｏｎｅＸＳ　Ｍａｘ　１４．１【カテゴリ】ｄフォト【事象の概要】ｄフォトアプリで新しい写真が表示されない【発生日時】１１／２６【再発有無】初事象【解決方法】設定⇒ｄフォト⇒写真のアクセス許可を「すべての写真」に変更し改善。

０１０３",操作説明
"【機種】ＳＯ－０１Ｋ（ＸＺ１）【カテゴリ】ｄフォト【事象の概要】ｄフォトアプリでクラウドに預ける操作をした後にｄフォトプリントアプリの「ｄフォト（お預かり）」に表示されない【発生日時】／　：
■社内問い合わせあんしん遠隔代々木センター
１４０６",操作説明
ｄフォトのフォトブックのページ数は、表紙も入れて２４ページでしょうか？写真は、表紙をめくって右側から印刷される感じでしょうか？,サービス案内
"【機種】ＳＣ－０２Ｍ（Ａ２０）ＯＳ９【カテゴリ】ｄフォト【事象の概要】本体にある写真、動画をｄフォトを通してＷｉｎ１０へ移行したい【発生日時】／　：
０９０２",操作説明
"【機種】ｉＰｈｏｎｅ８【カテゴリ】ｄフォト　【事象の概要】ｄフォトで写真データが表示されない【発生日時】／　：【再発有無】初事象【解決方法】ｄフォトアプリの写真の読み取りを全て許可にしていただき解決
０５０４",操作説明
"【機種】ｉＰｈｏｎｅＸＲ　１４．２【カテゴリ】ｄフォト【事象の概要】自動お預かりできなかったファイルがある。【発生日時】／　：【再発有無】初事象【解決方法】時間があいたら自然復旧していたとのこと。
０９０３",操作説明
ｄフォトのこよみフォトについても複数枚を１回の注文でまとめてできるようにして欲しい,こよみ複数
"【機種】Ｆ－４１Ａ（ＡＲＢｅ４）１０　６４Ｄ【カテゴリ】ｄフォトプリントアプリ　【事象の概要】お届け先にチェックがつかない【発生日時】／　：【再発有無】初事象【解決方法】編集を行って頂き改善
０７０３",操作説明
ｄフォト商品戻りの確認が取れるまで時間が掛かり何度も確認の電話をしなければならない状況を改善して欲しい。時間が掛かる理由については納得いただいておりますが、商品の戻りがあったときなど、ドコモ側から連絡をして欲しいと要望。,その他
"【機種】ｉＰｈｏｎｅ８　ＩＯＳ１４．２【カテゴリ】ｄフォト（ｄフォト／ｄフォトプリント）【事象の概要】ｄフォト／ｄフォトプリントアプリで写真の表示が全く出てこない【発生日時】／　：【再発有無】初事象【解決方法】設定＞プライバシー＞写真＞ｄフォト／ｄフォトプリントアプリ＞選択した写真から全ての写真へ変更後に解消

０３０２",操作説明
"【機種】ｉＰｈｏｎｅ機種不明　ｉｏｓ１３．２．２【カテゴリ】トラ）ｄフォト【事象の概要】ｄフォトプリント追加注文のため支払い方法登録画面で「Ｍ１１００３３」のエラーが表示される。【発生日時】／　：【再発有無】初事象／再発［外部機器］
０２０４",操作説明
ｄフォトのサービスが変わって、２つのアプリを利用しなければいけない事と、過去のＬ判の注文履歴が見れなくなったのがとても残念。【お客様アンケート(IC)】,アプリが使いにくい
"【機種】ｉＰｈｏｎｅ　ｉＯＳ１４．０．１【カテゴリ】ｄフォト　【事象の概要】フォトブックの注文をしたいが写真を選択後、「処理中にエラーが発生しました。」と表示され注文が完了できない【発生日時】／　：【再発有無】初事象【解決方法】ｄフォトプリントアプリの入れ直しにより解決
０７０４",操作説明
"【機種】ＨＷ－０１Ｋ【カテゴリ】ｄフォト【事象の概要】フォトブックを注文後「ｄ１９７」のエラーが表示される【発生日時】／　：【再発有無】初事象【解決方法】ＩＤ／パスワードでログインし改善。生体認証のトラブルであることを説明し、生体認証の解除→再登録を実施。
０２０２",操作説明
"ｉＰｈｏｎｅＳＥ使用中です

問題→今月初旬からｄフォトに写真、スクショが保存されない現象が起こっている

今まで→撮影したデータは全てｄフォトへ自動的に保存されていた

要望→今まで通りｄフォトへ自動保存したい

現状→写真、スクショ撮影は可能で、カメラにデータが保存されてしまっています思い当たるきっかけが１１月初旬にｉＰｈｏｎｅ自動アップデートされたことくらいです

どこに問い合わせたら良いかも分からずここへ問い合わせしました困っています

宜しくお願いしますｉＰｈｏｎｅＳＥ",操作説明
ｄフォト月末注文時：混雑により処理が遅れて翌月の扱いになる場合があることを利用者がわかるようにして欲しい。,その他
ｄフォトプリントのアプリを利用するようになり、以前のように自分の作成したアルバムから写真を取り込めず使いにくい。以前のような仕様にして欲しい。,アプリが使いにくい
"【お客様情報】
・契約者情報未聴取。【問合せ内容】
・ｄフォトの中身を１年分消してしまったが復元可能か。
・手元に端末なし、機種不明。【回答】
・クラウドに預けてある物なら復元できるかもだが不明と案内。
・手元に機種用意していただき再入電お願い。【ＣＡＴ　Ｎｏ．】７事象E: ﾄﾞｺﾓ提供・提携ｱﾌﾟﾘ関連",操作説明
"【機種】ＳＣ－０２Ｌ（Ｆｅｅｌ）【カテゴリ】トラ）ｄフォト【事象の概要】ご主人様が契約しているｄフォトを奥様のスマートフォンで利用したい【発生日時】【再発有無】初事象［外部機器］
０８０６",ログイントラブル
"【機種】ｉＰｈｏｎｅ７　ｉＯＳ１４．２【カテゴリ】ｄフォト【事象の概要】１０／２５以降に撮影した写真が表示されない。【発生日時】１１／２４　１６：３０【再発有無】初事象【解決方法】本体設定⇒ｄフォト⇒写真⇒すべての写真に変更し解決。
１２０２",操作説明
"【機種】ＳＣ－０２Ｊ【カテゴリ】ｄフォト　【事象の概要】クラウドにお預かりしている写真を本体に移す方法を知りたい。【発生日時】／　：
０３０６",操作説明
数ヶ月前にｄフォトにログインできなくなった際、センターに電話したが１回目のスタッフはエラーの報告を受けてないのでご自身で解決してください。と一方的に電話を切った。３回目の電話で繋がったスタッフが解決してくれたが中々電話が繋がらない部署だけに１発で解決すべきでは？【お客様アンケート(DS)】,ログイントラブル
"【機種】ｉＰｈｏｎｅ６　１４．２【カテゴリ】ｄフォト【事象の概要】ＬＩＮＥから保存した写真がｄフォトにもプリントアプリにも表示されない【発生日時】／　：【再発有無】初事象【解決方法】ｄフォトとプリントアプリのアンインストール→再インストールで改善
０７０３",操作説明
"【機種】ＳＯ－４１Ａ（１０Ⅱ）ビルド最新【カテゴリ】ｄフォト　【事象の概要】ｄフォトアプリで、端末の写真を撮影月ごとではなく、全選択をして削除できないか？【発生日時】／　：
１２０１",操作説明
"【機種】ｉＰｈｏｎｅ７【カテゴリ】ｄフォト【事象の概要】アプリ起動後にアプリアップデートのお知らせがでる⇒「アップデートする」を押しても何も起こらない【発生日時】／　：
０３０１",操作説明
"【機種】Ｊシリーズ　ＳＯ－０２Ｊ　ＯＳ７．０【カテゴリ】▲その他ｄ系アプリ　ｄフォトプリントアプリ【事象の概要】ドコモショップの見本と比べ、表紙の画像の余白が多いので余白を少なく出来るか知りたい【発生日時】／　：【再発有無】初事象【解決方法】横向きの写真を表紙に設定していただくことを案内
１００１",操作説明
１０．２０採用　ディズニー＋とｄフォトの廃止,対象外
９．３採用ｄフォトの廃止,対象外
"【機種】ＳＨ－０１Ｋ（ＡＱｓｅｎｓｅ）【カテゴリ】トラ）ｄフォト　【事象の概要】ｄフォトプリントでＬ版プリント１３７枚を発注し支払い方法をｄポイントに設定して決済したところ「処理中にエラー」と表示された。ポイントの残高は減っているがしかｋり発注できているか確認したい。【発生日時】／　：【再発有無】初事象［外部機器］
１３０５",対象外
"【機種】ｉＰｈｏｎｅ１２【カテゴリ】ｄフォト【事象の概要】ｄフォトプリントアプリでフォトブックを作りたいが、「端末の写真」のページに写真が一枚も表示されない。【発生日時】／　：【再発有無】初事象【解決方法】ｄフォトプリントの写真へのアクセス権限を「選択した写真」から「すべての写真」に変更して改善。
１００３",操作説明
"【機種】ＳＯ－０４Ｈ【カテゴリ】トラ）ｄフォト　【事象の概要】ｄフォトプリントアプリでフォトブックを作るのｄフォト（お預かり）の中の写真を削除する方法を知りたい。【発生日時】／　：【再発有無】初事象［外部機器］
０３０６",操作説明
"【機種】ビルド最新ｉＰｈｏｎｅ６Ｓ【カテゴリ】トラ）ｄフォト【事象の概要】ｄフォトプリントからフォトブックを作成しようとしたが端末写真に１枚も表示されずお預かり写真にはわずかの写真しか表示されない［発生手順］［エラー文言］［発生日時］／　：［再発有無］初事象［事象発生のきっかけ］［発生環境］パケット通信・Ｗｉ－Ｆｉ・ＳＩＭあり・［発生頻度］［トラブルシューティング］設定⇒ｄフォト⇒全ての写真に変更して頂くよう案内
０６０１",操作説明
"【機種】【カテゴリ】ｄフォト　【事象の概要】ＰＣ（１０）でｄフォトＷｅｂアルバムにてログインを選択するとＩＤ／パスワードを入力する画面にならず「ログインエラー」となり閲覧できない。【発生日時】１１／２３　：【再発有無】初事象【解決方法】エッジで閲覧しておりＩＥに変更し閲覧できるようになりました。ＩＤ／パスワード入力画面にならないことから、クッキー情報を削除する提案
１１０１",ログイントラブル
誤操作をしたのかもしれませんが、「アルバム」の中の画像が消えています。「ｄフォト」から画像を「アルバム」に複写する方法を教えて下さい。,操作説明
毎回言ってますが、ｄフォトのアルバムを毎月注文してますが、仕上がりが上の枠が切れて２＆＃１２３１６；３ミリほど切れているので、ちゃんと枠を作って下さい。ノハナと比べてみて下さい。【お客様アンケート(IC)】,その他
ガラ携からずっとＤＯＣＯＭＯを使っていて他社の機種を使う事は考えてないので、これからも遠隔サポートのお世話になります。ｄフォトも便利です。【お客様アンケート(IC)】,その他
"【機種】ｉＰｈｏｎｅ１１　ｉＯＳ１４．２【カテゴリ】ｄフォト【事象の概要】アプリ起動後、写真が全く表示されない【発生日時】／　：【再発有無】初事象【解決方法】設定＞ｄフォト＞写真＞「すべての写真」に変更
１３０２",ログイントラブル
"【機種】ｉＰｈｏｎｅＸＲ／１４．２【カテゴリ】ｄフォト　【事象の概要】ｄフォトプリントアプリを開くと「Ｄ１３４：処理中にエラーが発生しました。しばらくしてから…」というエラーが出て開けない。【発生日時】／　：【再発有無】初事象【解決方法】ｄアカウント設定アプリに以前使用していた昔のｄアカウントが設定されていたので新しいｄアカウントを再設定し直して頂き改善。
０１０２",ログイントラブル
"【機種】ＳＣ－０４Ｊ　【カテゴリ】ｄフォト【事象の概要】お預かり写真の設定がされているか確認したい。【発生日時】／　：
０８０１",操作説明
"【機種】ｉＰｈｏｎｅ８　１４．２【カテゴリ】ｄフォト【事象の概要】お預けしている動画がアプリ版に表示されない。Ｗｅｂアルバムでは表示／再生可能。【発生日時】／　：【再発有無】初事象【解決方法】「ドコモメール利用設定Ｖｅｒ．３」のプロファイルを削除＞ｄフォトアプリを入れなおして解決。
０９０３",操作説明
"【機種】ＳＣ－０２Ｍ（Ａ２０）／ＯＳ９．０／ビルドＴＡ２【カテゴリ】ｄフォト【事象の概要】ｄフォトアプリを開くと更新が求められるが読み込み中のまま変化しない。【発生日時】／　：【再発有無】初事象【解決方法】ｄフォトプリントアプリをアップデート
０６０５",ログイントラブル
アプリがインストールできません。ｄフォトのサービスを契約させて頂いたのですが、必要なアプリがインストールできません。ｉｐｈｏｎｅｘ,インストールトラブル
"【機種】ＳＨ０２Ｊ　【カテゴリ】ｄフォト　【事象の概要】ｄフォトのプリントサービスにて　こよみフォト　で複数の画像を選択は可能か確認したい【発生日時】１１／２２　：
１１０１",こよみ複数
"【機種】ＳＣ－０２Ｌ（Ｆｅｅｌ）【カテゴリ】トラ）ｄフォト【事象の概要】プリントした写真を確認したら撮影した画像の縦横比が４：３ではなかった為に縦横の縁が切れてしまっている状態だった。ｄフォトのアプリ側で画像そのものを縮小するような機能はないか？【発生日時】１１／２２　：【再発有無】初事象［外部機器］
１２０６",操作説明
"ｄフォトプリントアプリについて引越し後の注文

商品注文時に住所が○県△市の後が「ｘｘｘ」とマスク表示されていて、ドコモショップで住所変更の手続を行った後のため、正しい住所と勘違いして注文してしまった。

住所確認の画面はマスク表示しないでほしいと仰せ。",その他
ｄフォトプリントのアプリがとても良いサービスで利用している。フォトブックを同時に何冊か作成する際、２１枚以上の枚数を選べるようになると便利になるのではとサービス改善要望有。,その他
"【機種】ｉＰｈｏｎｅ１２　【カテゴリ】トラ）ｄフォト　【事象の概要】ｄフォトの写真が消えてしまったので戻せないか。【発生日時】／　：【再発有無】初事象［外部機器］［５５０４］
２２１２",操作説明
"【機種】ｉＰｈｏｎｅ機種不明／１４．１【カテゴリ】ｄフォト【事象の概要】お預かり保存した写真が表示されない【発生日時】１１／２２【再発有無】初事象【解決方法】アプリの再インストールで解決
１１０４",操作説明
"【機種】ｉＰａｄ全般【カテゴリ】ｄフォト　【事象の概要】端末フォルダに切り替えると「写真がありません」という表示になる。【発生日時】／　：【再発有無】初事象【解決方法】ｄフォトアプリを再インストール
０９０１",操作説明
ドコモを解約した場合、ｄフォト、ｄポイントカードは使用できなくなりますか？ｉＰｈｏｎｅ８,対象外
"【機種】ＳＨ－０３Ｋ（ＡＱＲ２）【カテゴリ】ｄフォト【事象の概要】１つだけアップロードできない動画がある。【発生日時】／　：
■社内問い合わせ
０４０３",操作説明
ｄフォト担当に繋がるまでの時間が毎度長い。問合せする度に担当者を増員するように伝えているが一向に改善がみられないとご指摘いただく。ｄフォトの商品でこよみフォトが一回の注文で一枚しか購入できないのが不便なので、一度に複数枚注文できるようにして欲しいとも仰られていました。,こよみ複数
スマホでｄフォトプリントで写真の注文をしたいが、「作成途中のデータの保存に失敗しました。再度操作してください。」とメッセージが何度も出て注文が出来ない。時間を置いてやってもできない。アプリを落としたり、もどるボタンを押して再度選び直してもできず。解決方法を教えてください。,操作説明
"【機種】ＳＨ－０３Ｋ（ＡＱＲ２）【カテゴリ】ｄフォト【事象の概要】今年の２月～８月の間の写真がお預かり保存できてない（写真の上に○が回っている）【発生日時】／　：
０５０７",操作説明
