Text,TopCategory1,TopCategory1 Probability,TopCategory2,TopCategory2 Probability,TopCategory3,TopCategory3 Probability
"【 機種 】 ｉＰｈｏｎｅ ７ 　 ＯＳ １ ４ ． ４ 【 カテゴリ 】 ｄ フォト プリント 【 事象 の 概要 】 アプリ を 立ち 上げる と 「 アプリ の 起動 に 必要 な 情報 が 取得 でき ませ ん でし た 」 と 表示 さ れ 開け ない 。 【 発生 日時 】 ２ ／ ２ ５ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 サイト 越え トラッキング を 防ぐ ＯＦＦ → ドコモ の 通信 に 切り替え 。 １ ３ ０ ５ 
",起動トラブル,0.701,ログイントラブル,0.178,サービス案内,0.027
"【 機種 】 ｉＰｈｏｎｅ 機種 不明 ビルド 最新 【 カテゴリ 】 トラ ） ｄ フォト 【 事象 の 概要 】 ｄ フォトプリントアプリ から Ｌ 判 プリント を 申し込む 為 写真 を 選択 し た が 、 プレビュー に １ ０ ０ ０ ＫＢ 超え た 画像 だけ 表示 さ れ ない 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ［ 外部 機器 ］ ０ ３ ０ ３ 
",操作説明,0.897,マイアルバムから選べなくなった,0.027,サービス案内,0.017
"Ｗｉ － Ｆｉ で ｄ フォト が 使え ませ ん 。 アプリ が 開く とき の ロゴ の 画面 で 読み込み に なっ た まま で 進み ませ ん 。 一度 アン インストール し て から 再 インストール し て も 同じ でし た 。 Ｗｉ － Ｆｉ を 止め たら 使え ます が それでは データ 通信 量 が 増え て しまい ます 。 Ｗｉ － Ｆｉ で は 使え ない 原因 は 何 です か ？ よろしく お願い し ます 。 
",操作説明,0.431,ログイントラブル,0.15,サービス案内,0.136
"インク らしき もの で 汚れ た ｄ フォト の アルバム が 送ら れ て き た のに 、 審査 が 必要 で 、 かつ 交換 や 返品 が でき ない かも と 言わ れ まし た 。 不 良品 を 提供 し て 、 その 対応 は おかしい と 感じ ます 。 信じ がたい です 。 【 お客様 アンケート ( IC )】 
",その他,0.817,操作説明,0.055,サービス案内,0.027
"ｄ フォト プリント サービス の 「 お 届け先 」 が 三 件 しか 登録 でき ない ので もっと 増やし て 欲しい 
",その他,0.735,ログイントラブル,0.087,サービス案内,0.045
"【 機種 】 ＳＨ － ０ ２ Ｍ （ ＡＱｓｅｎｓｅ ３ ） ／ １ ０ 　 【 カテゴリ 】 ｄ フォト ・ フォト 【 事象 の 概要 】 ｄ フォト で アップ ロード する 際 に ＤＬ し た もの や ＬＩＮＥ で 保存 し た 物 が アップ ロード し た 日付 に なる ので 変更 編集 並び 替え が でき ない か 知り たい 。 フォト で 写真 の 一覧 の 大き さ を 変え たい 【 発生 日時 】 ／ 　 ： ０ ４ ０ ５ 
",操作説明,0.858,その他,0.07,サービス案内,0.044
"１ １ ． １ ８ 採用 　 ｄ フォト 廃止 
",対象外,0.879,サービス案内,0.025,その他,0.025
"１ ． ５ 採用 ｄ フォト の 契約 確認 。 
",その他,0.606,対象外,0.135,ログイントラブル,0.132
"【 機種 】 ＳＨ － ４ １ Ａ （ ＡＱｓｅｎｓｅ ４ ） 【 カテゴリ 】 ｄ フォト 　 【 事象 の 概要 】 クラ ウド に お 預かり 操作 を し て いる が 、 読み込み 画面 から 進ま ず ずっと くるくる 読み込む 画面 が で て きる 。 【 発生 日時 】 ／ 　 ： ■ 社内 問い合わせ 　 遠隔 なか の センター ０ ６ ０ ７ 
",操作説明,0.782,サービス案内,0.124,その他,0.032
"【 機種 】 ｉＰｈｏｎｅ ８ 【 カテゴリ 】 ▲ その他 ｄ 系 アプリ 、 ▲ その他 ドコモ 提供 アプリ 【 事象 の 概要 】 １ ． ｉＰｈｏｎｅ ８ に ｄ フォト 契約 の ｄ アカウント 設定 し て いる 。 ｄ キッズ は 別 回線 の 契約 だ が 設定 し て 利用 できる か ？ ２ ． ｄｉｓｎｅｙ ＋ の テレビアプリ の ログイン 方法 を 知り たい 。 【 発生 日時 】 ／ 　 ： ０ ５ ０ １ 
",ログイントラブル,0.838,サービス案内,0.092,操作説明,0.049
"【 機種 】 ｉＰｈｏｎｅＳＥ （ 第 ２ 世代 ） 【 カテゴリ 】 ｄ フォト 　 【 事象 の 概要 】 預け られ ない 写真 が ある 　 何故か ？ 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ／ 再発 【 解決 方法 】 写真 の ｉＰｈｏｎｅ の ストレージ の 最適 化 状態 だ と 本体 に ダウンロード し ない 限り 不可 １ ２ ０ ３ 
",操作説明,0.89,その他,0.057,サービス案内,0.016
"１ ． ５ 採用 。 基本 使用 料金 ・ 通信 料金 について 概要 説明 。 ｄ フォト・スゴ 得 コンテンツ 廃止 。 
",対象外,0.467,サービス案内,0.207,その他,0.178
"ｄ フォト の プリント サービス を 使用 し て いる 、 送料 削減 の 為 に も 異なる ページ 構成 の フォト ブック を 同時 注文 ・ まとめ て 発送 できる 様 に し て 欲しい 。 
",その他,0.569,操作説明,0.155,サービス案内,0.129
"購入 し た 端末 が ハズレ だっ た の かも しれ ませ ん が 、 購入 早々 から 不具合 の 連続 です 。 どうか 誤 作動 解消 に 尽力 下さい 。 また 、 御社 グラウンド サービス Ｄ フォト 、 不具合 が 多 過ぎ ます ので 安定 向上 に 加え 、 お預け 容量 アップ の 検討 を 強く 願い ます 。 【 お客様 アンケート ( IC )】 
",その他,0.564,操作説明,0.308,サービス案内,0.03
"【 機種 】 ｉＰａｄｍｉｎｉ ４ 【 カテゴリ 】 ｄ フォト 　 【 事象 の 概要 】 ｄ フォト 契約 ある のに ｄ フォト プリント の フォト ブック を つくる を 押す と 「 利用 に は 申込 が 必要 です 」 と 表示 さ れる 【 発生 日時 】 ２ ／ ２ ５ １ １ 　 ： ４ ６ 【 再発 有無 】 初 事象 ／ 【 解決 方法 】 ｄ アカウント 発行 し 改善 １ ３ ０ ３ 
",ログイントラブル,0.824,操作説明,0.092,サービス案内,0.032
"【 機種 】 ｉＰｈｏｎｅ 機種 不明 【 カテゴリ 】 トラ ） 空き 容量 不足 【 事象 の 概要 】 １ ２ ７ ． ９ ／ １ ２ ８ ＧＢ 利用 中 。 機種 変更 の ため バックアップ を 取り たい 。 ｄ フォト を 活用 し たい が 空き 容量 不足 の 通知 が 出 て しまう 。 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ［ 外部 機器 ］ ０ ６ ０ ５ 
",操作説明,0.851,その他,0.053,サービス案内,0.047
"【 機種 】 ＳＣ － ０ ３ Ｌ 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 ｄ フォト を 開く と 端末 内 の 写真 と お 預かり し て いる 写真 を 読み込ん で い ます と 表示 が さ れ た まま 消え ない 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 １ 枚 手動 で 写真 を お 預かり 保存 する する 事 で 改善 ０ ６ ０ １ 
",操作説明,0.959,サービス案内,0.009,その他,0.007
"【 機種 】 ＳＯ － ０ １ Ｌ （ Ｘ Ｚ ３ ） 【 カテゴリ 】 ｄ フォト 　 【 事象 の 概要 】 ｄ フォト で 他 の アカウント に ログイン が でき ない 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 端末 自体 の ｄ アカウント 設定 を 変更 し て いただく よう 案内 し 解決 ０ ５ ０ ４ 
",ログイントラブル,0.849,操作説明,0.108,その他,0.026
"ＯＳ １ ０ の ＳＣ － ４ ２ Ａ を ２ 台 所有 し て いる 。 ２ 台 とも ドコモアプリデータバックアップ の 一括 バックアップ が 正常 に 動作 し ない 。 一部 アプリ の バックアップ が 出来 なかっ た と 表示 さ れる 。 ｄ フォト 、 災害 用 キット 、 ｄ マーケット 等 が その 対照 データ 。 これ を 改善 し て 欲しい 。 
",その他,0.411,操作説明,0.387,ログイントラブル,0.053
"【 お客様 情報 】 ・ 契約 者 情報 未 聴取 。 【 問合せ 内容 】 ・ ｄ フォト 利用 し たら ２ ０ ０ ０ ポイント もらえる の に もらえ ない 。 【 リセット ・ 設定 改善 状況 】 【 ソフトウェア 更新 確認 】 【 回答 】 ・ サービス 確認 の ため インフォ 転送 。 【 応対 ログ ＩＤ 】 ７ ３ ９ ９ ４ L : 料金 ・ 商品 ・ ｻｰﾋﾞｽ 問合せ 
",対象外,1.0,,,,
"ＳＯ － ０ ２ Ｈ 利用 中 。 ｄ フォトアプリ は 最新 。 過去 に 作っ た ７ 種類 の フォト ブック を 全て １ 冊 づつもう 一 度 マイ ギャラリー から 注文 し たい が 、 旧 フォトブックアプリ で 作成 し た フォト ブック は 現在 再 注文 でき ませ ん と 表示 さ れる 。 今後 再 注文 できる よう に 変更 し て 欲しい 。 
",履歴が消えた,0.836,その他,0.086,操作説明,0.043
"１ １ ． １ ８ 採用 ｄ フォト 廃止 
",対象外,0.879,サービス案内,0.025,その他,0.025
"【 機種 】 Ｆ － ０ ５ Ｊ 　 ７ ． １ 【 カテゴリ 】 ｄ フォト （ ＷＥＢ アルバム ） 【 事象 の 概要 】 フォト ブック を 作成 し たい が 作成 し たい 写真 が フォト ブック に 表示 さ れ ない フォト ブック 利用 でき なく なる と の メール が 届い た が 対象 に なる の か 確認 し たい 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 撮影 日 まで さかのぼっ て いただき 見つけ て いただい た 為 完了 ＳＨ Ａ ２ に 対応 し て いる 為 今後 も 利用 出来る 旨 案内 ０ ７ ０ ３ 
",操作説明,0.629,その他,0.291,サービス案内,0.026
